,Name,Arrival,"Opening
seremony",,Practice1,Pr1T,,Engineering,EnT,,"Project &
Core values",,,LUNCH,,Practice2,Pr2T,,"RobotgameRound1",Rg1T,,Practice3,Pr3T,,,Arrival,,Practice4,Pr4T,,"RobotgameRound2",Rg2T,,Practice5,Pr5T,,"RobotgameRound3",Rg3T,,LUNCH,,Seremonies
1,Robo Team, 8:00,9:00 - 9:45,, 11:00,F,, 10:00,C,, 11:30,AR1,, 12:40,, 12:20,B,, 14:50,A,, 15:40,A,,, 8:00,, 9:50,E,, 10:30,A,, 11:10,E,, 11:40,B,, 12:20,, 13:00
2,Koirajengi, 8:00,9:00 - 9:45,, 10:40,F,, 11:00,C,, 11:30,AR2,, 12:20,, 13:20,B,, 14:50,B,, 16:00,A,,, 8:00,, 9:20,A,, 9:50,A,, 10:40,E,, 11:10,B,, 12:10,, 13:00
3,RoboMobot, 8:00,9:00 - 9:45,, 11:40,F,, 10:20,C,, 13:10,AR1,, 11:00,, 12:40,B,, 15:10,A,, 16:20,A,,, 8:00,, 9:10,A,, 10:10,A,, 10:30,E,, 11:30,B,, 12:00,, 13:00
4,Team Pandat, 8:00,9:00 - 9:45,, 11:20,F,, 10:40,C,, 14:10,AR1,, 11:40,, 13:20,F,, 15:10,B,, 16:40,E,,, 8:00,, 9:00,A,, 10:00,A,, 10:20,E,, 11:20,B,, 12:10,, 13:00
5,Orange Flamingos, 8:00,9:00 - 9:45,, 10:00,F,, 13:40,C,, 12:40,AR1,, 11:30,, 12:20,F,, 15:30,A,, 16:20,B,,, 8:00,, 9:30,E,, 10:10,B,, 10:40,A,, 11:50,B,, 12:20,, 13:00
6,team 6, 8:00,9:00 - 9:45,, 10:20,F,, 11:20,C,, 14:10,AR2,, 11:50,, 13:00,B,, 15:30,B,, 16:00,B,,, 8:00,, 9:20,B,, 10:20,A,, 10:50,E,, 11:30,A,, 12:10,, 13:00
7,Super Animals Seven, 8:00,9:00 - 9:45,, 10:40,B,, 14:00,C,, 10:00,AR1,, 12:40,, 12:00,B,, 15:00,A,, 15:40,B,,, 8:00,, 9:10,B,, 10:20,B,, 11:00,E,, 11:20,A,, 12:20,, 13:00
8,Team Jekut, 8:00,9:00 - 9:45,, 11:20,B,, 12:00,C,, 13:10,AR2,, 12:20,, 14:00,B,, 15:00,B,, 15:20,E,,, 8:00,, 9:00,B,, 9:40,A,, 10: 10,E,, 11:00,B,, 12:00,, 13:00
9,The Beavers, 8:00,9:00 - 9:45,, 11:00,B,, 12:20,C,, 10:00,AR2,, 11:20,, 12:40,F,, 14:40,A,, 15:00,E,,, 8:00,, 9:40,E,, 10:30,B,, 11:30,E,, 11:50,A,, 12:10,, 13:00
10,Rabuset, 8:00,9:00 - 9:45,, 11:40,B,, 12:40,C,, 10:30,AR1,, 12:00,, 13:00,F,, 14:40,B,, 15:40,C,,, 8:00,, 9:20,C,, 9:40,B,, 10:00,E,, 11:10,A,, 12:00,, 13:00
11,Robo Build, 8:00,9:00 - 9:45,, 10:00,B,, 13:00,C,, 11:30,AR3,, 12:10,, 14:00,F,, 15:20,A,, 16:00,C,,, 8:00,, 9:10,C,, 10:00,B,, 11:20,E,, 11:40,A,, 12:20,, 13:00
12,Hamsukingit , 8:00,9:00 - 9:45,, 10:20,B,, 13:20,C,, 11:00,AR1,, 12:20,, 12:00,F,, 15:20,B,, 16:20,C,,, 8:00,, 9:00,C,, 9:50,B,, 10:40,B,, 11:00,A,, 12:00,, 13:00
13,Ryhmä Robottiset, 8:00,9:00 - 9:45,, 11:00,D,, 10:00,A,, 13:40,AR1,, 12:40,, 12:20,E,, 15:10,C,, 16:40,F,,, 8:00,, 9:50,F,, 10:30,C,, 11:10,F,, 11:40,D,, 12:20,, 13:00
14,Walley 2.0, 8:00,9:00 - 9:45,, 10:40,D,, 11:00,A,, 13:10,AR3,, 12:20,, 14:00,E,, 15:10,D,, 16:20,D,,, 8:00,, 9:20,D,, 9:50,C,, 10:40,F,, 11:10,D,, 12:10,, 13:00
15,Ankka Legot, 8:00,9:00 - 9:45,, 11:40,D,, 10:20,A,, 13:40,AR2,, 11:00,, 13:00,E,, 14:50,C,, 16:00,D,,, 8:00,, 9:10,D,, 10:10,C,, 10:30,F,, 11:30,D,, 12:00,, 13:00
16,The Swansons , 8:00,9:00 - 9:45,, 11:20,D,, 10:40,A,, 12:40,AR2,, 11:40,, 13:40,E,, 14:50,D,, 15:40,D,,, 8:00,, 9:00,D,, 10:00,C,, 10:20,F,, 11:20,D,, 12:10,, 13:00
17,Team Robortti Rubertti, 8:00,9:00 - 9:45,, 10:00,D,, 14:00,A,, 12:40,AR3,, 11:10,, 12:00,E,, 15:00,C,, 15:40,E,,, 8:00,, 9:30,F,, 10:10,D,, 10:40,C,, 11:50,D,, 12:20,, 13:00
18,Robotti Kuusikot, 8:00,9:00 - 9:45,, 10:20,D,, 11:20,A,, 14:10,AR3,, 11:50,, 12:40,E,, 15:00,D,, 15:20,F,,, 8:00,, 9:20,E,, 10:20,C,, 10:50,F,, 11:30,C,, 12:10,, 13:00
19,Septetti, 8:00,9:00 - 9:45,, 10:40,E,, 11:40,A,, 13:40,AR3,, 12:40,, 12:20,D,, 15:30,C,, 16:20,E,,, 8:00,, 9:10,E,, 10:20,D,, 11:00,F,, 11:20,C,, 12:20,, 13:00
20,team 18, 8:00,9:00 - 9:45,, 11:20,E,, 12:00,A,, 10:30,AR2,, 12:20,, 13:40,F,, 15:30,D,, 16:00,E,,, 8:00,, 9:00,E,, 9:40,C,, 10: 10,F,, 11:00,D,, 12:00,, 13:00
21,Leirikotkat, 8:00,9:00 - 9:45,, 11:00,E,, 12:40,A,, 10:00,AR3,, 11:20,, 13:20,D,, 15:20,C,, 16:20,F,,, 8:00,, 9:40,F,, 10:30,D,, 11:30,F,, 11:50,C,, 12:10,, 13:00
22,Lego Robotics, 8:00,9:00 - 9:45,, 11:40,E,, 13:20,A,, 10:30,AR3,, 12:00,, 14:00,D,, 15:20,D,, 16:00,F,,, 8:00,, 9:20,F,, 9:40,D,, 10:00,F,, 11:10,C,, 12:00,, 13:00
23,Eagle camp, 8:00,9:00 - 9:45,, 10:00,E,, 13:00,A,, 11:00,AR2,, 12:10,, 13:40,D,, 14:40,C,, 15:40,F,,, 8:00,, 9:10,F,, 10:00,D,, 11:20,F,, 11:40,C,, 12:20,, 13:00
24,Team Rescue, 8:00,9:00 - 9:45,, 10:20,E,, 13:40,A,, 11:00,AR3,, 12:20,, 12:00,D,, 14:40,D,, 15:00,F,,, 8:00,, 9:00,F,, 9:50,D,, 10:40,D,, 11:00,C,, 12:00,, 13:00
